date,All in QQQ,All in VGT,Top 5,Top 10,Top 15,Top 20,Top 25,Top 50,Top 75
2023-07-13,238534.49531774342,248182.90752780886,278081.80203754315,269693.9373665065,268002.6995375286,264241.9322033064,261960.54340741824,258006.35983292878,255151.6669707988
2023-07-14,238484.12136836565,247295.13998851652,278546.7696227219,269731.4416531299,268006.66772515164,264257.18180336844,261943.77600365804,257826.73939039107,254863.50885245504
2023-07-17,240711.232672979,250587.13388233937,281604.32804721297,272791.58008659974,271080.715989379,267334.2942895559,265074.0794201704,261020.0151866426,258070.5569091545
2023-07-18,242680.4121482862,253421.37959231745,285653.8804013543,276508.6147461351,274474.18559940386,270563.9893340739,268165.775652727,263849.8656315342,260789.13193245983
2023-07-19,243623.8196756545,253754.17605470866,286057.02660205547,277150.16271592455,275050.5424760183,271174.0155369193,268720.6319944665,264324.1931874153,261295.86330159684
2023-07-20,238007.83188909158,248384.27729157323,281239.57177598454,272364.58376268856,270203.67115165753,266312.1318163385,263838.4728260743,259398.48602103133,256358.0858884689
2023-07-21,237293.9562699038,247957.9524660126,278753.73008826893,270316.78996206034,268789.57037374703,265124.1013766199,262790.5014637064,258586.24513600435,255621.3913326001
2023-07-24,237673.00388110417,248240.32457023335,280164.9180286603,271597.9495948665,269924.68384259415,266186.2780082353,263872.27147487836,259535.04650167277,256495.9114334809
2023-07-25,239283.89732159674,251063.68474254143,282903.00717085483,274281.604727459,272601.02263110864,268829.5729245162,266478.75419485907,262092.52148035643,259031.6875615349
2023-07-26,239487.90519235717,249173.85577160103,280584.58167304716,272124.2786880363,270208.8829313606,266649.32233081444,264470.974684352,260329.91101836413,257318.0077833331
2023-07-27,238916.9694254527,248028.8774223566,277724.38847234455,269802.7023330656,268331.3267248534,264997.5811636959,263135.136860892,259221.9089798912,256192.73493446043
2023-07-28,243268.75995184126,251552.8579066417,282280.27235586493,273947.6058976116,272305.489483576,268984.4587230081,267101.4956563108,262992.6463566138,259811.62669755574
2023-07-31,243395.60608509963,252797.87218712567,282116.2951233327,274010.9169510885,272527.1945860001,269287.264472919,267430.72359268815,263433.4645935225,260358.6417749861
2023-08-01,242831.0589622455,252931.2764334769,281758.1950717138,273949.8057092683,272680.73384470603,269492.5411754116,267673.20756286115,263815.2084647269,260739.89294571633
2023-08-02,238502.3580011992,247200.1936838004,276310.0508001111,268547.0423065312,267251.5875655057,264080.2124857705,262191.7802534126,258283.4306821334,255220.49732467762
2023-08-03,238120.11834508707,246223.52358889172,275501.92382704245,267631.21735737997,266058.04454562726,262866.61560137063,261056.70782064262,257334.9735561654,254331.46580692768
2023-08-04,237005.2592817799,243008.92115263204,269973.9731046413,262963.1065566432,261858.09056087988,258940.24140529172,257248.12966107656,253434.1824891311,250473.62822456253
