date,All in QQQ,All in VGT,Top 5,Top 10,Top 15,Top 20,Top 25,Top 50,Top 75
2020-01-02,1000.0,999.9999999999999,1000.0000000000001,1000.0000000000001,999.9999999999999,1000.0,1000.0,1000.0000000000001,1000.0
2020-01-03,990.8400545073536,989.4922312004196,989.2955549877732,989.4386719997644,989.0304002203889,989.3698930080346,989.4029238288281,989.5819457331063,989.6773682571231
2020-01-06,997.2242033320424,992.7806235142307,993.1424878982953,994.3298336967995,993.4919228437687,993.7029697054398,993.3205652977282,992.7519859778369,992.767410075597
2020-01-07,997.085541956774,992.6603540259072,986.3047728805126,988.6276666514502,988.8831303184937,989.5596135322613,990.5623710912341,991.3299665292944,991.8064888475441
2020-01-08,2004.5800094486458,2003.1280329960462,2001.1384592436762,2001.602968566087,2000.730426975101,2001.1472945439218,2001.5072931788336,2002.15800592911,2002.4575719500087
2020-01-09,2021.5656469320638,2025.632483183115,2031.2423286248106,2028.4007489111618,2025.3766821393885,2025.8012982279113,2025.8928733021685,2025.1908199544212,2025.2999089478267
2020-01-10,2016.3956784023198,2021.2276843403235,2030.5380435546406,2028.3588610382926,2023.8460144475164,2024.1877209183367,2023.5020685320874,2022.0449939360303,2022.086107495073
2020-01-13,2039.6587790906121,2048.297170752845,2061.979255516067,2061.1550618379374,2053.879601385574,2052.992736815524,2052.130796051225,2049.6686710584154,2049.8574390910194
2020-01-14,2031.6277216190192,2037.4051275298484,2043.3962220929225,2042.8998570982442,2039.1682968707087,2038.4289986704198,2037.9467103797915,2036.7159177286971,2037.0816830132799
2020-01-15,3032.458232769395,3039.087043654327,3048.5217200883326,3046.3162662881336,3040.9767759046244,3040.671219412654,3040.0762719462873,3038.1776553350933,3038.4420672838396
2020-01-16,3061.5213056117755,3080.7442888243113,3092.465546554528,3089.1804806217947,3081.989693234083,3082.2553970304575,3082.556019272661,3080.114746500485,3080.5985011115276
2020-01-17,3076.670442711628,3099.0072637267303,3120.0367755511215,3112.9386437847234,3104.2102322167375,3107.5002559753543,3107.6459151097333,3102.7908625771674,3101.853672829078
2020-01-21,3075.2936259120625,3094.4713963999743,3113.58775295041,3108.3565105155394,3100.2293718563765,3103.179034992807,3104.664521688915,3099.963533271904,3098.7969671308697
2020-01-22,4083.4194675376875,4107.243413730024,4124.33437370071,4117.443413989337,4112.266484256911,4115.3014420775435,4117.042647275315,4111.853815198993,4110.8072039182425
2020-01-23,4096.552432088991,4127.595531105998,4142.206235691619,4135.703758709268,4133.058142004384,4133.329980366596,4134.126970358456,4130.339193415358,4130.059106138681
2020-01-24,4062.079449285581,4106.296627567145,4145.517696628596,4133.525257333564,4125.429487328985,4122.6743002645135,4120.10132245802,4114.033052052286,4112.418563968857
2020-01-27,3978.174285433764,4008.3173814790493,4044.1057006024844,4035.5753281077764,4026.165517630097,4026.044961637014,4022.8364505923523,4016.3077762921225,4014.8141703466363
2020-01-28,4039.2793123354268,4084.524583288581,4132.265503859075,4120.108491678608,4107.595006745913,4105.985922444864,4102.625018570211,4094.051537039871,4091.7735914546142
2020-01-29,5045.84420280675,5088.625136366081,5187.842272003417,5157.330064715599,5136.0709326072465,5128.412096675733,5120.603405927079,5107.775630620152,5103.09319387237
2020-01-30,5063.816816719508,5129.273571668421,5248.415632560713,5214.732702207684,5184.975419318683,5175.084322883206,5171.165396561739,5153.54118455459,5146.869874168242
2020-01-31,4983.513970727644,4991.228308353561,5079.465211980208,5055.771839528787,5039.097416506689,5031.081584362715,5027.2713981403995,5012.135416015178,5006.304818228529
2020-02-03,5058.8118306873275,5053.869089501745,5135.948156794354,5116.101276465028,5101.259809520635,5094.414746039968,5091.967467147983,5077.683266127267,5072.027600426402
2020-02-04,5174.602575981501,5186.02416279663,5281.447539610209,5255.898990919867,5237.733648467291,5227.883451334238,5227.168255850819,5212.059371293604,5204.284558932881
2020-02-05,6191.663781432463,6210.569186034228,6305.392658254766,6278.305169185038,6273.274433558145,6261.819937801735,6258.774245256731,6242.270103764038,6232.25861709054
2020-02-06,6245.109964420504,6260.422147586648,6383.715002204527,6350.753002645697,6338.323918489635,6324.310128691629,6320.122514843663,6301.199238129595,6287.318072558032
2020-02-07,6218.251917601553,6201.908984908552,6340.174275004928,6304.4345560814745,6288.127923534089,6272.725034287139,6267.624102576191,6244.1179073550975,6231.1268497106985
2020-02-10,6293.401155331852,6279.1440537504495,6428.692039099017,6398.5568040993285,6374.343622695265,6358.164316819452,6354.786679700145,6327.962249606844,6313.59603760738
2020-02-11,6294.486394164866,6267.677850133395,6363.750990313673,6350.4398029007325,6334.223560623561,6320.2265803012515,6321.603986788547,6302.820349230099,6293.684729551298
2020-02-12,7355.801742510898,7334.3821742998,7440.997290250836,7425.50395335138,7407.177299227366,7388.293521128988,7390.352369467838,7371.498074998375,7362.044097641542
2020-02-13,7346.382092259609,7319.4782921736705,7409.393056075291,7379.55939582345,7367.8272571016805,7356.773716531498,7364.49933483287,7351.334048616968,7340.995068055662
