key,symbol
00108J109|US00108J1097,ACMR
337738108|US3377381088,FISV
338307101|US3383071012,FIVN
346375108|US3463751087,FORM
34959E109|US34959E1091,FTNT
35137L105|US35137L1052,FOXA
35137L204|US35137L2043,FOX
358054104|US3580541049,FRSH
35834F104|US35834F1049,TE
36266G107|US36266G1076,GEHC
366651107|US3666511072,IT
375558103|US3755581036,GILD
37637K108|US37637K1088,GTLB
37940X102|US37940X1028,GPN
380237107|US3802371076,GDDY
384747101|US3847471014,GRAL
39813G109|US39813G1094,GDYN
40171V100|US40171V1008,GWRE
40434L105|US40434L1052,HPQ
404609109|US4046091090,HCKT
413160102|US4131601027,HLIT
418056107|US4180561072,HAS
426281101|US4262811015,JKHY
42824C109|US42824C1099,HPE
43849R105|US43849R1059,HONA
438516205|US4385162056,HON
443573100|US4435731009,HUBS
445658107|US4456581077,JBHT
44812J104|US44812J1043,HUT
44980X109|US44980X1090,IPGP
45168D104|US45168D1046,IDXX
452327109|US4523271090,ILMN
453204109|US4532041096,PI
45337C102|US45337C1027,INCY
45569U101|US45569U1016,INDI
45765U103|US45765U1034,NSIT
457669307|US4576693075,INSM
45772F107|US45772F1075,IPHI
458140100|US4581401001,INTC
45827U109|US45827U1097,INTA
45867G101|US45867G1013,IDCC
459200101|US4592001014,IBM
46005L101|US46005L1017,IMXI
461202103|US4612021034,INTU
46120E602|US46120E6023,ISRG
46222L108|US46222L1089,IONQ
46571Y107|US46571Y1073,IIIV
465741106|US4657411066,ITRI
466313103|US4663131039,JBL
47215P106|US47215P1066,JD
48123V102|US48123V1026,ZD
48242W106|US48242W1062,KBR
482480100|US4824801009,KLAC
49271V100|US49271V1008,KDP
49338L103|US49338L1035,KEYS
49428J109|US49428J1097,KE
49845K101|US49845K1016,KVYO
49926D109|US49926D1090,KN
500600101|US5006001011,KOPN
500754106|US5007541064,KHC
501242101|US5012421013,KLIC
50155Q100|US50155Q1004,KD
512807306|US5128073062,LRCX
51818V106|US51818V1061,LTCH
518415104|US5184151042,LSCC
525327102|US5253271028,LDOS
532206109|US5322061095,LIF
532275104|US5322751042,LWLG
537008104|US5370081045,LFUS
53815P108|US53815P1084,RAMP
550021109|US5500211090,LULU
55024U109|US55024U1097,LITE
55306N104|US55306N1046,MKSI
553777103|US5537771033,MTSC
55405Y100|US55405Y1001,MTSI
55933J203|US55933J2033,MX
562750109|US5627501092,MANH
565788106|US5657881067,MARA
571903202|US5719032022,MAR
573874104|US5738741041,MRVL
57636Q104|US57636Q1040,MA
57667L107|US57667L1070,MTCH
57772K101|US57772K1016,MXIM
57776J100|US57776J1007,MXL
577933104|US5779331041,MMS
584021109|US5840211099,MDLA
58733R102|US58733R1023,MELI
591520200|US5915202007,MEI
594918104|US5949181045,MSFT
594960304|US5949603048,
594972408|US5949724083,MSTR
595017104|US5950171042,MCHP
595112103|US5951121038,MU
60471A101|US60471A1016,MIR
606710200|US6067102003,MITK
60739U204|US60739U2042,MOBL
60770K107|US60770K1079,MRNA
609207105|US6092071058,MDLZ
60937P106|US60937P1066,MDB
609839105|US6098391054,MPWR
61174X109|US61174X1090,MNST
620076307|US6200763075,MSI
62878D100|US62878D1000,NABL
62886E108|US62886E1082,VYX
629445206|US6294452064,NVEC
630402105|US6304021057,NSSC
63942X106|US63942X1063,NVTS
63947X101|US63947X1019,NCNO
64110D104|US64110D1046,NTAP
64110L106|US64110L1061,NFLX
64110W102|US64110W1027,NTES
64111Q104|US64111Q1040,NTGR
64115T104|US64115T1043,NTCT
64119N608|US64119N6085,NTSK
65345N106|US65345N1063,NN
65443P102|US65443P1021,MASS
65487K100|US65487K1007,LASR
668771108|US6687711084,GEN
67000B104|CA67000B1040,NOVT
67059N108|US67059N1081,NTNX
67066G104|US67066G1040,NVDA
67103H107|US67103H1077,ORLY
671044105|US6710441055,OSIS
679295105|US6792951054,OKTA
679580100|US6795801009,ODFL
682189105|US6821891057,ON
68236H204|US68236H2040,ONDS
68287N100|US68287N1000,OSPN
683344105|US6833441057,ONTO
68389X105|US68389X1054,ORCL
68989M202|US68989M2026,OUST
69318J100|US69318J1007,CNXN
693282105|US6932821050,PDFS
69370C100|US69370C1009,PTC
693718108|US6937181088,PCAR
69553P100|US69553P1003,PD
69608A108|US69608A1088,PLTR
697435105|US6974351057,PANW
698884103|US6988841036,PAR
704326107|US7043261079,PAYX
70432V102|US70432V1026,PAYC
70438V106|US70438V1061,PCTY
70439P108|US70439P1084,PAY
70450Y103|US70450Y1038,PYPL
70451A104|US70451A1043,PAYS
70451X104|US70451X1046,PAYO
705573103|US7055731035,PEGA
70614W100|US70614W1009,PTON
706915105|US7069151055,PENG
713448108|US7134481081,PEP
715347100|US7153471005,PRSP
719405102|US7194051022,PLAB
722304102|US7223041028,PDD
725ESC016|US725ESC0166,
72815L107|US72815L1070,PLTK
729132100|US7291321005,PLXS
733245104|US7332451043,PRCH
739276103|US7392761034,POWI
73931J109|US73931J1097,AIOT
74275K108|US74275K1088,PCOR
743312100|US7433121008,PRGS
743424103|US7434241037,PFPT
74346Y103|US74346Y1038,PRO
74624M102|US74624M1027,P
74727D306|US74727D3061,QADA
74736K101|US74736K1016,QRVO
74736L109|US74736L1098,QTWO
74743L100|US74743L1008,Q
747525103|US7475251036,QCOM
74758T303|US74758T3032,QLYS
74766W108|US74766W1080,QUBT
